date,type,price,log_price
2014/3/20,GDEA,65,4.17438727
2014/3/21,GDEA,63,4.143134726
2014/3/24,GDEA,65,4.17438727
2014/3/25,GDEA,60,4.094344562
2014/3/26,GDEA,65,4.17438727
2014/3/27,GDEA,60,4.094344562
2014/3/28,GDEA,61.5,4.119037175
2014/3/31,GDEA,60,4.094344562
2014/4/1,GDEA,62,4.127134385
2014/4/8,GDEA,60.8,4.107589789
2014/4/11,GDEA,60,4.094344562
2014/4/14,GDEA,61.8,4.123903364
2014/4/15,GDEA,63.3,4.147885329
2014/4/16,GDEA,63.3,4.147885329
2014/4/18,GDEA,63.8,4.15575319
2014/4/21,GDEA,62,4.127134385
2014/4/22,GDEA,65.8,4.186619838
2014/4/23,GDEA,61,4.110873864
2014/4/24,GDEA,67,4.204692619
2014/4/25,GDEA,71.6,4.271095074
2014/4/30,GDEA,70.88,4.260988306
2014/5/4,GDEA,68.2,4.222444565
2014/5/5,GDEA,66.8,4.201703081
2014/5/9,GDEA,65.12,4.176231722
2014/5/13,GDEA,65.12,4.176231722
2014/5/14,GDEA,67.8,4.216562195
2014/5/15,GDEA,69.5,4.241326753
2014/5/16,GDEA,71.2,4.265492818
2014/5/19,GDEA,74.6,4.312140507
2014/5/20,GDEA,77,4.343805422
2014/5/21,GDEA,74.7,4.313480092
2014/5/22,GDEA,73,4.290459441
2014/5/28,GDEA,63.02,4.143452136
2014/5/29,GDEA,65.18,4.177152673
2014/5/30,GDEA,61.18,4.113820339
2014/6/3,GDEA,63.5,4.151039906
2014/6/5,GDEA,66.38,4.195395806
2014/6/6,GDEA,68.5,4.226833745
2014/6/9,GDEA,62.5,4.135166557
2014/6/10,GDEA,63.5,4.151039906
2014/6/11,GDEA,65.16,4.176845784
2014/6/13,GDEA,66.82,4.202002437
2014/6/16,GDEA,63.32,4.148201235
2014/6/17,GDEA,60.28,4.099000374
2014/6/18,GDEA,60.22,4.098004523
2014/6/19,GDEA,63,4.143134726
